Exp,ID,Block,trial,trial_type,cueLoc,stimLoc,locDist,FixDur,SOA,CTI,stim,response,correct,RTms,prolific_id,xPixels,yPixels,dpi
SaccadeExp7_font12,17660,Pro,44,exp,4,4,same,600,650,400,R,R,TRUE,178.881000000052,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,45,exp,2,2,same,1000,300,50,R,R,TRUE,335.653000000049,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,46,exp,1,1,same,1800,650,400,R,R,TRUE,178.810999999987,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,47,exp,2,2,same,200,650,400,B,B,TRUE,419.898999999976,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,48,exp,1,1,same,600,300,50,P,P,TRUE,290.665000000037,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,49,exp,1,1,same,1000,300,50,P,P,TRUE,369.775000000023,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,50,exp,2,2,same,1400,650,400,B,B,TRUE,375.584999999963,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,51,exp,3,3,same,600,650,400,P,P,TRUE,303.363000000012,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,52,exp,2,2,same,1400,300,50,R,R,TRUE,381.822999999975,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,53,exp,3,3,same,1000,650,400,B,B,TRUE,371.951000000001,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,54,exp,4,4,same,1000,300,50,R,R,TRUE,352.731000000029,5fb079128b511d47995da086,1920,1080,1
SaccadeExp7_font12,17660,Pro,55,exp,1,1,same,200,300,50,P,P,TRUE,470.145000000019,5fb079128b511d47995da086,1920,1080,1
